timestamp,x,y,z
2010,-19.52,3.951,-1.836
2020,-17.166,4.02,-1.645
2030,-14.697,4.047,-1.372
2040,-12.417,4.245,-1.241
2050,-10.424,4.522,-1.484
2060,-8.754,4.87,-2.015
2070,-7.352,5.028,-2.783
2080,-6.585,4.909,-3.104
2090,-5.481,4.571,-2.856
2100,-2.926,4.626,-3.061
2110,1.888,5.095,-3.511
2120,8.61,4.501,-4.055
2130,9.505,4.282,-2.981
2140,9.505,5.12,-0.9
2150,9.505,5.363,1.383
2160,9.505,5.958,4.363
2170,9.505,5.936,6.128
2180,9.505,5.27,6.462
2190,9.505,4.151,5.853
2200,9.505,3.516,4.588
2210,9.505,2.7,3.828
2220,9.505,2.31,3.261
2230,9.505,1.895,3.272
2240,9.505,1.731,3.409
2250,9.505,1.846,4.216
2260,9.505,2.143,4.107
2270,9.505,2.234,3.239
2280,9.505,2.246,1.634
2290,9.497,2.112,0.306
2300,6.624,2.994,-0.595
2310,2.901,2.346,-1.508
2320,-0.456,2.477,-1.699
2330,-3.371,2.747,-1.972
2340,-5.899,2.171,-2.674
2350,-7.978,1.871,-3.081
2360,-9.732,1.136,-2.767
2370,-11.724,1.97,-2.68
2380,-13.822,2.057,-2.076
2390,-16.254,1.827,-1.439
2400,-19.681,1.566,-0.115
2410,-21.696,1.688,0.227
2420,-23.149,1.752,0.055
2430,-24.311,1.531,-0.368
2440,-25.01,1.62,-0.895
2450,-25.821,2.214,-1.443
2460,-26.372,2.877,-1.889
2470,-26.645,3.391,-2.585
2480,-26.626,3.976,-3.235
2490,-25.851,4.824,-3.321
2500,-24.166,5.559,-3.314
2510,-22.163,6.476,-3.25
2520,-19.8,7.081,-3.399
2530,-16.754,7.795,-3.219
2540,-13.035,8.663,-2.831
2550,-8.619,9.419,-2.175
2560,-2.852,10.234,-1.403
2570,4.283,10.167,-0.426
2580,9.505,9.904,0.724
2590,9.505,10.141,1.044
2600,9.505,8.985,2.598
2610,9.505,7.883,4.818
2620,9.505,6.971,7.27
2630,9.505,6.173,8.996
2640,9.505,5.3,9.23
2650,9.505,4.232,8.849
2660,9.505,3.497,8.516
2670,9.505,3.143,8.256
2680,9.505,3.073,8.21
2690,9.505,3.523,7.592
2700,9.505,4.091,6.528
2710,9.505,4.425,4.509
2720,9.505,4.834,2.473
2730,9.505,5.276,0.36
2740,4.461,5.58,-0.789
2750,-0.729,5.878,-1.004
2760,-5.377,6.114,-0.549
2770,-8.892,5.778,-0.214
2780,-11.821,5.217,-0.168
2790,-13.923,3.555,-0.614
2800,-16.588,5.043,-1.538
2810,-19.019,6.033,-2.595
2820,-22.565,4.592,-3.473
2830,-25.706,4.314,-3.797
2840,-28.383,5.254,-3.261
2850,-29.721,5.749,-2.625
2860,-29.721,5.836,-3.044
2870,-29.721,5.81,-4.077
2880,-29.721,5.762,-4.679
2890,-29.618,6.539,-4.814
2900,-28.607,7.307,-4.591
2910,-26.896,8.168,-3.606
2920,-25.092,8.684,-2.635
2930,-22.625,9.216,-2.145
2940,-19.097,9.696,-2.45
2950,-15.138,10.189,-2.264
2960,-9.96,10.628,-1.725
2970,-3.459,10.546,-0.87
2980,4.839,10.281,0.123
2990,9.505,9.728,1.057
3000,9.505,8.965,1.749
3010,9.505,7.539,2.546
3020,9.505,5.776,3.667
3030,9.505,4.457,4.891
3040,9.505,3.588,5.619
3050,9.505,2.379,6.041
3060,9.505,2.059,6.337
3070,9.505,1.774,5.795
3080,9.505,1.79,4.617
3090,9.505,2.304,3.875
3100,9.505,3.304,3.233
3110,9.505,3.756,2.181
3120,9.505,4.907,1.676
3130,9.505,5.324,0.71
3140,7.507,6.168,-0.132
3150,3.347,6.91,-0.503
3160,-1.491,8.022,-0.66
3170,-7.37,8.854,-0.656
3180,-12.656,8.517,-1.429
3190,-17.685,8.026,-3.038
3200,-22.84,7.398,-4.906
3210,-28.113,7.188,-5.98
3220,-29.721,7.598,-6.484
3230,-29.721,8.651,-5.99
3240,-29.721,8.901,-5.775
3250,-29.721,9.279,-6.078
3260,-29.721,9.109,-6.746
3270,-29.721,9.307,-6.464
3280,-29.721,10.08,-5.364
3290,-29.721,10.869,-4.3
3300,-27.397,12.006,-3.012
3310,-21.925,13.151,-2.193
3320,-14.535,13.669,-1.438
3330,-5.849,13.528,-0.217
3340,4.844,13.232,0.761
3350,9.505,12.595,1.408
3360,9.505,10.295,2.144
3370,9.505,8.226,3.151
3380,9.505,6.084,4.331
3390,9.505,3.915,5.286
3400,9.505,2.325,6.284
3410,9.505,1.474,7.098
3420,9.505,0.938,7.892
3430,9.505,1.014,9.023
3440,9.505,1.721,8.945
3450,9.505,2.548,7.088
3460,9.505,4.033,4.798
3470,9.505,5.33,2.447
3480,9.505,6.725,0.84
3490,8.999,7.877,0.476
3500,2.965,8.8,0.543
3510,-2.255,9.77,-0.125
3520,-7.506,10.024,-0.989
3530,-13.564,10.779,-1.932
3540,-20.944,11.518,-3.212
3550,-28.992,11.884,-4.766
3560,-29.721,11.865,-6.427
3570,-29.721,10.852,-7.682
3580,-29.721,9.898,-8.246
3590,-29.721,9.607,-7.494
3600,-29.721,10.093,-6.383
3610,-29.721,10.531,-5.52
3620,-29.721,11.18,-4.373
3630,-29.721,11.485,-2.449
3640,-23.93,12.704,-1.142
3650,-16.637,12.803,-0.475
3660,-9.119,12.514,-0.388
3670,-1.885,11.524,-0.887
3680,5.4,10.269,-1.671
3690,9.505,8.178,-1.56
3700,9.505,6.782,-0.443
3710,9.505,5.608,1.274
3720,9.505,4.159,3.363
3730,9.505,2.778,5.318
3740,9.505,0.982,7.149
3750,9.505,0.099,9.245
3760,9.505,-0.428,10.181
3770,9.505,-0.444,9.689
3780,9.505,-0.046,8.797
3790,9.505,1.14,7.561
3800,9.505,2.543,6.358
3810,9.505,4.395,4.616
3820,9.505,5.896,3.078
3830,8.726,6.935,2.264
3840,2.696,9.067,1.194
3850,-3.252,10.262,0.255
3860,-8.7,10.115,-0.217
3870,-13.898,10.26,-0.745
3880,-19.477,9.963,-1.464
3890,-24.565,9.337,-2.747
3900,-29.656,8.63,-3.822
3910,-29.721,8.28,-4.969
3920,-29.721,8.184,-5.757
3930,-29.721,8.521,-5.999
3940,-29.721,8.895,-5.993
3950,-29.721,9.29,-6.103
3960,-29.721,9.942,-5.182
3970,-29.721,11.096,-4.245
3980,-29.721,12.065,-3.164
3990,-23.501,13.137,-2.184
4000,-16.364,13.711,-1.612
4010,-9.136,14.118,-1.29
4020,-2.029,13.804,-1.31
4030,6.188,12.771,-1.705
4040,9.505,11.162,-1.797
4050,9.505,9.007,-1.159
4060,9.505,7.142,-0.067
4070,9.505,5.204,2.039
4080,9.505,3.611,3.808
4090,9.505,1.312,4.834
4100,9.505,0.075,5.714
4110,9.505,-0.547,6.126
4120,9.505,-0.622,6.141
4130,9.505,0.521,6.153
4140,9.505,2.114,5.44
4150,9.505,3.76,3.777
4160,9.505,5.351,1.645
4170,9.505,6.665,-0.233
4180,7.361,7.953,-1.788
4190,1.722,8.822,-2.38
4200,-3.725,9.265,-2.395
4210,-9.499,9.768,-2.047
4220,-16.095,9.776,-1.633
4230,-22.404,9.772,-1.669
4240,-28.423,9.364,-1.929
4250,-29.721,9.119,-2.772
4260,-29.721,8.817,-3.873
4270,-29.721,8.539,-4.633
4280,-29.721,8.964,-4.894
4290,-29.721,9.625,-4.736
4300,-29.721,10.376,-4.183
4310,-29.721,11.269,-2.753
4320,-29.721,12.356,-1.381
4330,-24.57,12.833,-0.251
4340,-16.987,13.171,0.227
4350,-9.027,12.848,-0.146
4360,-1.358,12.278,-0.798
4370,6.046,11.245,-1.409
4380,9.505,10.049,-1.428
4390,9.505,8.417,-0.129
4400,9.505,6.908,1.323
4410,9.505,5.204,2.824
4420,9.505,2.778,5.488
4430,9.505,1.812,7.405
4440,9.505,0.48,8.198
4450,9.505,0.272,8.544
4460,9.505,0.775,8.261
4470,9.505,1.877,7.537
4480,9.505,3.084,6.273
4490,9.505,5.148,4.772
4500,9.505,6.571,2.96
4510,9.505,8.002,0.978
4520,3.535,9.04,-0.935
4530,-1.67,9.553,-1.656
4540,-6.903,9.802,-2.223
4550,-12.812,10.425,-2.568
4560,-19.645,11.193,-2.915
4570,-27.157,11.628,-2.976
4580,-29.721,11.495,-4.167
4590,-29.721,11.159,-6.385
4600,-29.721,10.528,-8.777
4610,-29.721,10.667,-10.859
4620,-29.721,10.691,-11.437
4630,-29.721,11.848,-10.293
4640,-29.721,13.67,-6.834
4650,-29.721,15.982,-3.08
4660,-21.357,17.206,-1.255
4670,-12.198,16.875,-1.281
4680,-3.525,15.431,-1.119
4690,4.499,14.224,-0.171
4700,9.505,12.68,0.249
4710,9.505,10.183,1.83
4720,9.505,8.75,4.083
4730,9.505,7.08,7.001
4740,9.505,4.613,10.773
4750,9.505,2.867,14.539
4760,9.505,1.794,16.307
4770,9.505,0.907,15.713
4780,9.505,1.861,13.234
4790,9.505,3.239,9.94
4800,9.505,5.775,6.595
4810,9.505,7.679,2.383
4820,9.505,8.324,-0.887
4830,5.41,9.019,-2.686
4840,-0.786,10.56,-3.147
4850,-6.706,10.36,-3.882
4860,-12.324,9.867,-4.627
4870,-17.4,10.194,-5.124
4880,-23.237,10.382,-5.656
4890,-29.721,10.434,-6.2
4900,-29.721,9.806,-6.791
4910,-29.721,9.325,-7.618
4920,-29.721,8.681,-8.72
4930,-29.721,8.294,-9.201
4940,-29.721,8.63,-8.815
4950,-29.721,10.158,-6.862
4960,-29.721,11.891,-4.559
4970,-28.5,13.932,-2.427
4980,-19.687,14.639,-0.462
4990,-10.67,14.943,1.013
5000,-2.465,14.536,1.238
5010,5.617,13.113,0.413
5020,9.505,11.205,0.233
5030,9.505,9.747,1.723
5040,9.505,8.787,4.041
5050,9.505,6.338,7.445
5060,9.505,4.843,11.182
5070,9.505,3.489,14.192
5080,9.505,2.442,15.613
5090,9.505,2.232,14.797
5100,9.505,2.786,12.695
5110,9.505,4.196,9.814
5120,9.505,6.471,6.767
5130,9.505,8.218,3.709
5140,9.505,9.266,0.723
5150,3.57,9.791,-1.356
5160,-2.518,10.184,-2.186
5170,-8.9,10.483,-1.918
5180,-15.205,10.562,-1.932
5190,-21.81,10.717,-2.374
5200,-28.701,9.971,-3.279
5210,-29.721,8.949,-5.278
5220,-29.721,8.059,-7.257
5230,-29.721,6.959,-8.932
5240,-29.721,7.048,-9.759
5250,-29.721,7.744,-9.834
5260,-29.721,8.987,-8.452
5270,-29.721,11.011,-6.104
5280,-28.701,13.153,-3.626
5290,-20.815,14.346,-1.93
5300,-12.986,14.951,-1.112
5310,-4.458,14.502,-0.691
5320,3.467,13.694,-0.412
5330,9.505,12.808,-0.364
5340,9.505,11.114,0.16
5350,9.505,8.709,2.158
5360,9.505,7.312,5.358
5370,9.505,6.06,8.783
5380,9.505,5.21,13.115
5390,9.505,3.714,16.678
5400,9.505,4.171,18.212
5410,9.505,4.342,16.785
5420,9.505,5.351,13.454
5430,9.505,7.325,9.838
5440,9.505,8.857,6.266
5450,9.505,10.036,3.207
5460,5.659,10.93,1.148
5470,-0.617,10.778,0.271
5480,-6.048,10.883,-0.891
5490,-11.757,11.522,-2.054
5500,-18.597,11.92,-3.384
5510,-26.814,11.925,-5.253
5520,-29.721,11.649,-7.829
5530,-29.721,10.541,-11.297
5540,-29.721,8.39,-15.001
5550,-29.721,7.267,-17.036
5560,-29.721,7.598,-16.349
5570,-29.721,9.337,-13.624
5580,-29.721,12.43,-8.753
5590,-27.076,14.956,-4.43
5600,-16.827,15.601,-0.722
5610,-6.775,15.03,1.741
5620,2.973,14.002,3.323
5630,9.505,11.651,5.233
5640,9.505,9.715,8.024
5650,9.505,7.819,11.135
5660,9.505,5.354,12.881
5670,9.505,3.389,14.249
5680,9.505,2.198,15.726
5690,9.505,2.326,16.633
5700,9.505,2.981,15.917
5710,9.505,4.071,13.266
5720,9.505,5.53,9.498
5730,9.505,7.067,5.921
5740,9.505,8.058,2.822
5750,9.133,8.457,0.129
5760,1.731,9.048,-1.713
5770,-4.29,8.247,-3.153
5780,-9.17,7.23,-3.658
5790,-14.661,7.863,-3.627
5800,-21.777,8.489,-4.011
5810,-29.523,7.856,-5.246
5820,-29.721,6.561,-7.97
5830,-29.721,4.873,-10.201
5840,-29.721,4.238,-11.062
5850,-29.721,5.153,-10.707
5860,-29.721,6.522,-8.963
5870,-29.721,8.357,-6.849
5880,-29.721,10.583,-3.588
5890,-22.595,12.269,-0.391
5900,-14.584,12.539,2.078
5910,-6.267,11.734,3.716
5920,1.359,10.486,4.969
5930,8.917,8.936,6.054
5940,9.505,7.087,7.544
5950,9.505,5.696,8.929
5960,9.505,4.995,10.55
5970,9.505,2.992,12.747
5980,9.505,1.755,14.682
5990,9.505,1.421,15.451
6000,9.505,1.156,14.328
6010,9.505,1.241,11.508
6020,9.505,2.834,8.278
6030,9.505,4.115,4.453
6040,9.505,4.685,1.288
6050,9.505,5.497,-0.917
6060,4.151,7.03,-1.079
6070,-1.4,7.746,0.321
6080,-5.857,7.75,1.134
6090,-9.967,7.846,0.897
6100,-14.688,7.571,-0.42
6110,-20.501,7.291,-1.506
6120,-26.786,7.499,-3.212
6130,-29.721,6.78,-5.029
6140,-29.721,5.691,-7.28
6150,-29.721,5.794,-8.643
6160,-29.721,7.67,-8.021
6170,-29.721,8.694,-6.449
6180,-29.721,9.261,-5.768
6190,-29.721,11.021,-4.565
6200,-28.113,12.917,-3.024
6210,-20.528,13.923,-1.123
6220,-12.021,14.038,0.668
6230,-2.715,13.589,2.107
6240,7.235,12.196,2.795
6250,9.505,10.445,3.76
6260,9.505,7.586,3.955
6270,9.505,4.445,5.246
6280,9.505,2.583,7.846
6290,9.505,1.22,11.492
6300,9.505,0.063,15.274
6310,9.505,0.055,17.64
6320,9.505,0.485,17.3
6330,9.505,1.424,14.653
6340,9.505,3.245,10.436
6350,9.505,4.67,6.036
6360,9.505,5.849,2.285
6370,6.672,6.742,0.397
6380,-0.738,7.843,0.399
6390,-7.24,8.621,-0.144
6400,-13.516,8.23,-0.703
6410,-19.064,7.556,-1.696
6420,-24.654,7.218,-3.579
6430,-29.721,6.58,-5.856
6440,-29.721,5.519,-7.723
