timestamp,x,y,z
1930,0.119,-0.604,-0.036
1940,-0.136,-0.671,-0.033
1950,-0.723,-0.274,0.026
1960,-0.815,-0.173,0.334
1970,-0.402,0.056,0.065
1980,-0.067,0.097,-0.025
1990,0.24,-0.013,-0.008
2000,0.452,-0.053,0.002
2010,0.362,-0.188,0.128
2020,0.337,-0.541,-0.121
2030,-0.031,-0.64,0.137
2040,-0.121,-0.7,-0.345
2050,-0.183,-0.235,-1.759
2060,0.401,-0.347,-1.197
2070,0.902,0.005,-1.145
2080,0.731,0.682,-0.759
2090,0.086,1.027,-0.164
2100,-0.762,0.687,0.097
2110,-0.59,0.098,-0.459
2120,0.274,-0.632,-1.403
2130,0.648,-0.826,-1.415
2140,0.868,-0.784,-1.128
2150,0.881,-0.596,-0.982
2160,0.99,-0.542,-1.764
2170,2.219,-0.494,-1.91
2180,2.506,-1.017,-0.722
2190,1.895,-1.391,-0.052
2200,0.634,-1.149,0.603
2210,-1.035,-0.693,1.082
2220,-1.544,-0.637,1.299
2230,-1.052,-0.329,0.85
2240,-0.689,0.344,0.693
2250,-0.969,0.8,0.733
2260,-1.232,0.972,0.398
2270,-1.068,1.024,-0.265
2280,-0.437,0.86,-1.079
2290,0.519,0.648,-1.588
2300,1.144,0.449,-1.661
2310,1.135,0.074,-1.247
2320,0.886,-0.449,-0.939
2330,-0.097,-0.722,-0.219
2340,-1.567,-1.045,0.542
2350,-2.026,-1.375,0.951
2360,-1.421,-1.567,0.836
2370,-0.631,-1.31,0.581
2380,-0.062,-0.801,0.209
2390,0.346,-0.597,-0.455
2400,-0.294,-0.178,-1.604
2410,-0.227,-0.695,-1.564
2420,-0.13,-0.857,-1.698
2430,-0.496,-1.41,-1.521
2440,0.176,-1.884,-0.735
2450,-0.335,-1.518,-0.795
2460,-0.821,-1.385,0.475
2470,-0.663,-1.387,1.008
2480,-0.079,-0.746,0.59
2490,0.297,0.098,-0.154
2500,-0.093,0.382,-1.078
2510,-0.245,0.408,-1.838
2520,-0.253,0.289,-2.09
2530,0.136,0.089,-2.117
2540,0.974,0.103,-1.73
2550,1.199,0.243,-0.774
2560,1.054,0.31,0.117
2570,0.437,0.068,0.563
2580,0.4,-0.151,0.609
2590,0.092,0.043,0.613
2600,-0.127,0.109,0.423
2610,0.352,-0.055,0.087
2620,0.716,-0.001,-0.274
2630,0.583,0.199,-0.284
2640,0.193,0.325,-0.225
2650,0.106,0.263,-0.343
2660,0.171,0.388,-0.461
2670,0.101,0.389,-0.68
2680,-0.128,0.387,-0.656
2690,-0.016,0.326,-0.667
2700,0.14,0.108,-0.8
2710,0.579,-0.001,-0.994
2720,0.819,0.188,-0.875
2730,0.802,0.362,-0.693
2740,0.977,0.556,-0.708
2750,1.697,0.979,-1.839
2760,2.813,0.68,-3.472
2770,1.893,0.714,-2.527
2780,0.802,0.948,-1.452
2790,0.255,0.836,-0.79
2800,-0.046,0.681,-0.122
2810,-0.091,0.287,-0.198
2820,-0.578,0.287,-0.284
2830,-0.53,0.219,-0.631
2840,0.197,-0.176,-0.668
2850,0.929,-0.521,-0.507
2860,1.333,-0.767,-0.127
2870,1.056,-0.752,0.191
2880,0.467,-0.691,0.275
2890,0.128,-0.431,0.197
2900,-0.234,0.006,0.237
2910,-0.546,0.457,0.291
2920,-0.767,0.789,0.493
2930,-0.745,0.788,0.899
2940,-0.807,0.787,1.038
2950,-0.844,0.587,1.117
2960,-0.769,0.366,0.792
2970,-0.475,0.05,0.178
2980,-0.384,-0.203,-0.186
2990,0,-0.299,-0.375
3000,0.107,-0.069,-0.237
3010,0.115,0.077,-0.016
3020,0.077,0.111,0.237
3030,0.295,0.161,0.014
3040,0.206,0.077,-0.182
3050,-0.227,0.084,0.346
3060,-0.121,0.268,0.554
3070,0.113,0.484,0.474
3080,0.191,0.709,0.24
3090,0.231,0.928,-0.076
3100,0.083,0.998,-0.247
3110,-0.216,1.133,-0.119
3120,-0.622,1.137,0.137
3130,-0.89,0.943,0.38
3140,-1.029,0.687,0.475
3150,-0.617,0.369,0.365
3160,-0.055,0.109,0.622
3170,0.136,-0.112,1.395
3180,-0.307,0.342,0.281
3190,-0.766,0.952,-0.084
3200,-0.803,0.97,-0.064
3210,-0.259,0.845,0
3220,-0.08,0.692,-0.046
3230,-0.092,0.486,-0.069
3240,0.029,0.25,0.195
3250,0.307,0.048,0.379
3260,-0.141,0.205,0.518
3270,-0.259,0.225,0.658
3280,0.005,0.078,0.49
3290,0.243,-0.009,0.441
3300,0.034,-0.035,0.536
3310,-0.237,-0.189,0.595
3320,-0.142,-0.011,0.712
3330,-0.425,0.223,0.944
3340,-0.154,0.79,1.2
3350,-0.043,0.858,1.253
3360,0.234,0.814,0.55
3370,-0.358,0.948,-0.371
3380,-0.203,2.113,-1.338
3390,2.615,1.62,-2.544
3400,3.114,1.287,-2.833
3410,2.055,1.18,-2.879
3420,1.323,0.779,-2.876
3430,1.023,0.206,-2.858
3440,0.561,-0.475,-2.803
3450,-0.173,-1.152,-2.599
3460,-1.009,-1.748,-2.391
3470,-1.382,-1.936,-2.227
3480,-1.258,-1.928,-1.671
3490,-1.533,-1.878,-0.926
3500,-1.795,-1.776,-0.438
3510,-1.666,-1.575,-0.403
3520,-1.197,-1.274,-0.649
3530,-0.838,-0.774,-0.863
3540,-0.293,-0.354,-0.78
3550,0.167,-0.224,-0.695
3560,0.187,-0.177,-0.461
3570,0.18,-0.175,-0.359
3580,0.407,-0.167,-0.288
3590,0.593,-0.13,-0.35
3600,0.605,-0.124,-0.432
3610,0.539,-0.104,-0.523
3620,0.587,-0.225,-0.593
3630,0.674,-0.219,-0.672
3640,0.638,-0.111,-0.559
3650,0.752,-0.128,-0.324
3660,0.763,-0.367,-0.061
3670,0.425,-0.676,0.273
3680,0.239,-0.688,0.358
3690,0.309,-0.632,0.335
3700,0.274,-0.554,0.33
3710,0.285,-0.419,0.183
3720,0.459,-0.273,0.086
3730,0.47,-0.197,-0.093
3740,0.362,-0.185,-0.15
3750,0.151,-0.302,-0.137
3760,-0.237,-0.436,-0.005
3770,-0.391,-0.387,0.039
3780,-0.287,-0.241,0.052
3790,-0.215,-0.102,-0.028
3800,-0.13,-0.048,-0.081
3810,-0.189,-0.051,-0.046
3820,-0.1,0.007,-0.203
3830,0.11,0.035,-0.359
3840,0.211,0.074,-0.431
3850,0.114,0.07,-0.537
3860,0.016,0.008,-0.526
3870,-0.027,0.065,-0.435
3880,0.163,0.313,-0.333
3890,0.58,0.512,-0.239
3900,0.653,0.574,-0.089
3910,0.716,0.503,0.1
3920,0.552,0.159,0.359
3930,-0.038,-0.167,0.457
3940,-0.343,-0.406,0.268
3950,-0.256,-0.395,-0.034
3960,-0.269,-0.343,-0.336
3970,-0.231,-0.23,-0.539
3980,-0.086,-0.047,-0.594
3990,-0.072,0.132,-0.546
4000,0.07,0.314,-0.498
4010,0.142,0.433,-0.246
4020,0.052,0.487,-0.156
4030,-0.043,0.562,-0.067
4040,0.174,0.67,-0.065
4050,0.253,0.679,-0.254
4060,0.262,0.682,-0.45
4070,0.273,0.65,-0.766
4080,0.312,0.624,-1.098
4090,0.41,0.609,-1.341
4100,0.565,0.524,-1.457
4110,0.612,0.521,-1.421
4120,0.537,0.509,-1.223
4130,0.255,0.485,-0.984
4140,0.367,0.226,-0.737
4150,0.212,0.017,-0.514
4160,-0.304,-0.11,-0.344
4170,-0.635,-0.045,-0.213
4180,-0.52,0.012,-0.259
4190,-0.354,0.159,-0.394
4200,0.064,0.268,-0.403
4210,0.458,0.41,-0.446
4220,0.782,0.644,-0.399
4230,0.829,0.703,-0.363
4240,0.77,0.663,-0.304
4250,0.691,0.594,-0.407
4260,0.543,0.52,-0.484
4270,0.545,0.429,-0.608
4280,0.63,0.305,-0.698
4290,0.665,0.107,-0.768
4300,0.503,-0.15,-0.693
4310,0.374,-0.297,-0.728
4320,0.361,-0.401,-0.777
4330,0.423,-0.586,-0.877
4340,0.523,-0.802,-0.88
4350,0.631,-1.051,-0.709
4360,0.715,-1.278,-0.452
4370,0.77,-1.333,-0.192
4380,0.768,-1.286,0.042
4390,0.699,-1.256,0.185
4400,0.692,-1.246,0.185
4410,0.699,-1.256,0.183
4420,0.722,-1.226,0.262
4430,0.769,-1.072,0.427
4440,0.953,-0.717,0.56
4450,1.324,-0.273,0.635
4460,1.607,0.116,0.559
4470,1.743,0.331,0.496
4480,1.746,0.273,0.293
4490,1.613,0.067,-0.025
4500,1.422,-0.17,-0.314
4510,1.28,-0.389,-0.62
4520,1.019,-0.542,-0.891
4530,0.822,-0.578,-1.14
4540,0.668,-0.644,-1.326
4550,0.387,-0.513,-1.372
4560,0.009,-0.354,-1.4
4570,-0.161,-0.555,-1.27
4580,-0.306,-0.85,-1.135
4590,-0.346,-0.989,-1.005
4600,-0.453,-0.741,-1.017
4610,-0.273,-0.266,-1.146
4620,-0.079,0.301,-1.405
4630,0.233,0.492,-1.499
4640,0.143,0.663,-1.522
4650,-0.078,0.641,-1.693
4660,-0.616,0.51,-1.509
4670,-1.375,0.284,-1.127
4680,-1.889,-0.103,-0.905
4690,-2.165,-0.469,-0.62
4700,-2.389,-0.685,-0.479
4710,-2.406,-0.668,-0.415
4720,-2.128,-0.57,-0.592
4730,-1.715,-0.551,-0.872
4740,-1.472,-0.595,-0.959
4750,-1.684,-0.658,-0.618
4760,-1.782,-0.604,-0.308
4770,-1.788,-0.456,-0.061
4780,-1.704,-0.318,0.028
4790,-1.77,-0.184,0.056
4800,-1.8,-0.092,0.03
4810,-1.67,-0.042,0.1
4820,-1.375,-0.087,0.134
4830,-1.011,-0.245,0.233
4840,-0.872,-0.261,0.309
4850,-0.657,-0.135,0.292
4860,-0.388,-0.232,0.203
4870,-0.318,-0.179,0.136
4880,-0.234,-0.09,0.081
4890,0.085,-0.242,0.137
4900,0.256,-0.37,0.229
4910,0.533,-0.382,0.358
4920,0.802,-0.364,0.439
4930,0.8,-0.285,0.562
4940,0.805,-0.187,0.671
4950,0.816,-0.23,0.756
4960,0.714,-0.473,0.868
4970,0.484,-0.706,0.979
4980,0.3,-0.737,0.993
4990,0.28,-0.657,0.836
5000,0.307,-0.536,0.498
5010,0.291,-0.464,0.353
5020,0.298,-0.43,0.22
5030,0.32,-0.485,0.281
5040,0.314,-0.554,0.353
5050,0.436,-0.49,0.373
5060,0.538,-0.308,0.142
5070,0.587,-0.085,-0.018
5080,0.753,0.115,-0.174
5090,0.977,0.313,-0.304
5100,1.226,0.411,-0.411
5110,1.393,0.559,-0.541
5120,1.413,0.657,-0.649
5130,1.244,0.614,-0.653
5140,1.11,0.569,-0.786
5150,1.009,0.584,-1.008
5160,0.865,0.401,-1.013
5170,0.647,0.281,-1.039
5180,0.569,0.205,-1.081
5190,0.522,0.199,-0.995
5200,0.353,0.183,-0.909
5210,0.288,0.194,-0.749
5220,0.095,0.056,-0.555
5230,-0.173,-0.097,-0.361
5240,-0.28,-0.252,-0.236
5250,-0.34,-0.449,-0.096
5260,-0.316,-0.643,-0.093
5270,-0.159,-0.67,-0.182
5280,-0.013,-0.645,-0.199
5290,-0.001,-0.619,-0.333
5300,-0.031,-0.659,-0.496
5310,-0.06,-0.537,-0.684
5320,-0.055,-0.42,-0.8
5330,0.136,-0.378,-0.904
5340,0.313,-0.268,-0.957
5350,0.302,-0.147,-1.001
5360,0.217,-0.096,-1.005
5370,0.108,-0.092,-1.026
5380,-0.013,-0.06,-1.079
5390,-0.123,-0.087,-1.025
5400,-0.21,-0.153,-0.984
5410,-0.24,-0.151,-0.872
5420,-0.275,-0.128,-0.721
5430,-0.221,-0.22,-0.509
5440,-0.139,-0.291,-0.401
5450,-0.039,-0.263,-0.285
5460,0.134,-0.158,-0.16
5470,0.371,-0.008,-0.071
5480,0.564,0.222,-0.027
5490,0.692,0.469,-0.066
5500,0.811,0.575,-0.218
5510,0.856,0.562,-0.254
5520,0.708,0.55,-0.365
5530,0.403,0.523,-0.5
5540,0.233,0.392,-0.563
5550,0.009,0.247,-0.516
5560,-0.159,0.121,-0.401
5570,-0.279,0.014,-0.236
5580,-0.316,-0.092,-0.097
5590,-0.372,-0.056,0.049
5600,-0.42,-0.011,0.109
5610,-0.257,0.029,0.121
5620,-0.044,0.068,0.125
5630,0.103,0.126,0.082
5640,0.191,0.14,0.07
5650,0.201,0.189,0.13
5660,0.161,0.176,0.164
5670,0.091,0.156,0.277
5680,0.154,0.117,0.356
5690,0.25,-0.026,0.382
5700,0.33,-0.161,0.32
5710,0.331,-0.187,0.28
5720,0.335,-0.165,0.233
5730,0.32,-0.17,0.24
5740,0.273,-0.183,0.262
