timestamp,x,y,z
2090,0.091,0.01,0.034
2100,0.074,0.005,-0.005
2110,0.075,-0.009,0.013
2120,0.079,0.021,0.002
2130,0.094,-0.01,0.014
2140,0.062,-0.006,-0.007
2150,0.077,-0.004,0.014
2160,0.089,0.031,0.028
2170,0.063,-0.018,-0.004
2180,0.081,0.001,-0.001
2190,0.087,0.03,0.032
2200,0.075,0.033,0.007
2210,0.086,-0.017,-0.015
2220,0.096,0.013,-0.02
2230,0.077,0.01,0.01
2240,0.087,-0.004,0.013
2250,0.067,-0.018,0.011
2260,0.066,0.012,0.026
2270,0.074,0.006,0.041
2280,0.086,-0.001,0.006
2290,0.087,-0.006,0.028
2300,0.061,0.001,-0.002
2310,0.093,-0.003,0.038
2320,0.078,-0.009,-0.026
2330,0.075,0.006,-0.018
2340,0.074,0.014,-0.051
2350,0.112,-0.017,-0.018
2360,0.141,-0.004,-0.012
2370,0.084,-0.027,0.022
2380,0.092,-0.001,0.014
2390,0.074,0.024,-0.023
2400,0.103,-0.03,0.022
2410,0.056,-0.011,-0.006
2420,0.115,0.015,0.001
2430,0.104,0.005,0.053
2440,0.077,-0.018,0.017
2450,0.084,0.007,0.032
2460,0.087,0.01,0.014
2470,0.096,-0.011,0.005
2480,0.067,0.006,-0.014
2490,0.079,-0.013,0.03
2500,0.083,-0.016,-0.017
2510,0.068,0.005,0.013
2520,0.102,0,0.029
2530,0.069,-0.006,0.017
2540,0.048,-0.018,-0.007
2550,0.096,0.003,0.025
2560,0.094,0.015,0.007
2570,0.059,-0.007,-0.045
2580,0.086,0.044,0.05
2590,0.09,-0.013,0.024
2600,0.09,-0.023,0.016
2610,0.091,-0.024,-0.026
2620,0.09,0.006,0.004
2630,0.092,0.03,0.023
2640,0.077,-0.016,0.002
2650,0.066,0,0.047
2660,0.085,0.013,-0.002
2670,0.083,0.003,0.007
2680,0.075,0.019,0.013
2690,0.092,0.027,0.047
2700,0.068,0.013,-0.013
2710,0.072,-0.011,0.04
2720,0.075,0.009,0.066
2730,0.102,0.018,-0.001
2740,0.057,-0.006,0.017
2750,0.087,0.024,-0.039
2760,0.085,0,0
2770,0.08,-0.007,-0.001
2780,0.066,0.013,-0.036
